wdr,dissim,leven,is_bot
473,960,903,1
654,806,813,1
686,474,362,1
777,365,182,1
134,516,361,1
534,594,548,1
399,413,447,1
43,682,722,1
924,88,74,1
601,768,750,1
63,817,800,1
1036,258,5,1
1015,247,243,1
823,605,602,1
380,1044,290,1
35,401,439,1
137,968,973,1
837,407,359,1
800,46,53,1
44,1013,929,1
273,405,672,1
372,239,256,1
970,26,854,1
320,232,171,1
450,549,651,1
803,460,441,1
741,737,692,1
432,740,501,1
422,310,355,1
317,1030,838,1
617,866,737,1
969,148,146,1
806,903,876,1
670,268,300,1
94,843,900,1
996,675,798,1
167,981,919,1
581,201,206,1
91,863,796,1
720,372,313,1
1028,32,26,1
795,533,613,1
978,332,580,1
245,538,432,1
695,290,303,1
104,970,1042,1
220,867,857,1
335,889,946,1
366,852,809,1
480,646,547,1
307,527,681,1
546,508,254,1
12,17,69,1
246,331,277,1
656,302,353,1
911,75,121,1
271,316,310,1
279,754,591,1
146,906,915,1
389,578,792,1
103,510,305,1
570,416,363,1
390,169,99,1
925,131,124,1
232,1006,1005,1
513,710,881,1
147,674,372,1
679,353,425,1
259,698,588,1
830,383,270,1
198,786,775,1
532,250,235,1
14,949,1001,1
436,907,765,1
838,270,890,1
74,1039,1036,1
1011,96,86,1
801,128,125,1
437,826,850,1
705,612,527,1
845,146,102,1
362,190,365,1
543,280,226,1
592,909,937,1
854,551,565,1
660,531,465,1
781,752,752,1
493,135,195,1
338,785,882,1
241,275,391,1
551,705,658,1
562,261,239,1
835,965,911,1
423,1022,945,1
817,829,895,1
912,483,487,1
1000,390,406,1
1010,80,143,1
536,709,516,1
240,51,52,1
572,566,492,1
203,537,855,1
218,759,680,1
713,360,299,1
236,278,325,1
178,274,271,1
919,83,219,1
50,969,963,1
988,91,84,1
680,569,446,1
749,237,175,1
699,479,623,1
228,963,931,1
160,7,328,1
3,359,36,1
150,1027,995,1
948,33,62,1
449,704,564,1
916,246,174,1
622,591,436,1
412,767,614,1
289,925,934,1
89,787,769,1
55,836,877,1
861,387,494,1
722,100,247,1
747,53,82,1
326,277,215,1
92,536,519,1
329,1014,1000,1
189,506,450,1
237,378,217,1
555,606,559,1
348,882,997,1
65,1000,982,1
262,1003,1024,1
235,434,532,1
820,872,1030,1
872,874,777,1
1012,293,849,1
78,870,996,1
967,59,59,1
365,1001,907,1
870,816,790,1
286,876,776,1
918,124,104,1
703,187,342,1
954,371,246,1
651,528,351,1
876,245,276,1
202,985,999,1
459,499,539,1
99,494,394,1
882,555,438,1
164,507,419,1
973,287,711,1
157,933,844,1
448,691,706,1
268,764,688,1
486,883,879,1
608,895,665,1
295,738,804,1
351,683,793,1
505,641,892,1
179,929,1002,1
112,12,598,1
1035,8,1003,1
15,15,505,1
571,1041,1019,1
116,935,912,1
69,34,1048,1
250,1033,1033,1
46,931,1039,1
233,991,1013,1
19,1045,1047,1
71,1048,1040,1
256,1047,1044,1
757,193,124,0
774,182,236,0
922,110,83,0
2,56,595,0
763,270,193,0
715,256,191,0
477,317,194,0
945,122,72,0
430,329,299,0
909,315,259,0
473,62,110,0
227,563,402,0
536,394,410,0
656,631,601,0
236,183,253,0
837,673,760,0
51,499,436,0
465,364,438,0
629,507,460,0
200,711,545,0
475,614,531,0
97,402,482,0
7,739,616,0
479,348,304,0
8,289,274,0
571,590,696,0
551,653,788,0
226,810,754,0
634,336,285,0
518,834,711,0
86,782,798,0
441,637,744,0
410,468,336,0
775,472,753,0
254,764,769,0
102,772,640,0
329,678,693,0
493,313,318,0
64,537,400,0
578,327,242,0
408,768,718,0
397,635,649,0
46,742,818,0
267,517,385,0
539,618,449,0
563,849,808,0
235,592,677,0
537,512,324,0
172,218,166,0
892,24,29,0
429,209,227,0
913,48,303,0
632,165,240,0
98,755,835,0
490,310,157,0
595,789,629,0
823,534,607,0
45,868,813,0
675,580,510,0
15,174,364,0
793,47,34,0
510,245,204,0
207,831,879,0
638,729,636,0
471,362,724,0
695,166,310,0
642,400,123,0
334,581,548,0
751,195,206,0
77,396,329,0
39,774,668,0
581,392,528,0
291,895,852,0
476,301,219,0
624,194,207,0
943,3,10,0
723,347,378,0
73,777,812,0
701,427,520,0
162,876,891,0
640,656,673,0
895,49,19,0
155,585,541,0
341,66,31,0
912,566,560,0
470,544,407,0
111,471,841,0
577,338,248,0
606,734,777,0
392,389,362,0
532,268,228,0
463,119,77,0
436,689,712,0
867,624,559,0
55,377,445,0
68,697,770,0
208,676,585,0
928,82,118,0
663,489,411,0
918,10,147,0
545,492,736,0
585,587,664,0
161,524,729,0
500,435,330,0
948,25,4,0
195,916,888,0
907,96,199,0
794,693,676,0
742,73,74,0
270,893,900,0
214,647,505,0
21,685,437,0
366,699,682,0
540,179,314,0
558,398,276,0
186,814,906,0
394,910,919,0
564,32,5,0
326,85,43,0
112,351,356,0
464,726,650,0
306,832,825,0
859,239,225,0
75,284,369,0
653,786,819,0
776,67,159,0
168,215,135,0
285,907,910,0
597,743,745,0
159,922,882,0
744,223,211,0
556,328,250,0
190,703,809,0
331,675,501,0
806,354,355,0
294,595,587,0
103,710,534,0
800,249,220,0
619,117,64,0
322,620,632,0
313,84,209,0
233,851,830,0
852,90,58,0
765,367,371,0
400,360,306,0
713,455,397,0
18,642,592,0
887,152,68,0
203,457,252,0
142,40,750,0
469,462,416,0
104,501,456,0
530,828,817,0
921,444,372,0
359,701,878,0
513,879,857,0
802,133,82,0
474,128,131,0
206,274,247,0
482,460,425,0
698,140,88,0
41,531,789,0
899,265,226,0
230,294,368,0
919,41,21,0
74,882,864,0
446,912,934,0
734,311,267,0
789,81,36,0
699,126,177,0
105,756,797,0
69,449,576,0
484,459,454,0
886,248,280,0
758,446,462,0
668,682,822,0
456,104,130,0
138,847,844,0
380,612,522,0
878,661,567,0
753,445,500,0
516,159,184,0
36,4,56,0
531,45,28,0
652,717,644,0
372,621,642,0
588,473,415,0
677,623,648,0
830,737,688,0
796,813,731,0
522,485,557,0
504,617,615,0
358,196,331,0
939,26,25,0
654,146,132,0
209,787,772,0
528,418,453,0
772,845,787,0
708,263,162,0
514,601,554,0
891,340,511,0
570,419,428,0
260,539,390,0
279,101,109,0
369,559,628,0
603,664,618,0
498,172,106,0
819,247,549,0
731,210,146,0
665,325,388,0
824,407,496,0
180,655,569,0
467,553,360,0
283,283,279,0
92,872,827,0
332,316,223,0
455,842,794,0
38,854,894,0
177,326,281,0
727,83,90,0
739,51,26,0
170,815,652,0
117,298,539,0
938,13,63,0
450,556,475,0
743,74,37,0
643,300,168,0
425,214,346,0
598,309,244,0
282,629,653,0
34,860,866,0
587,250,126,0
99,490,357,0
541,504,572,0
860,716,723,0
108,794,758,0
611,230,301,0
325,605,401,0
130,918,876,0
694,463,609,0
814,260,133,0
47,562,575,0
705,748,621,0
376,667,661,0
30,930,942,0
816,438,524,0
730,450,322,0
167,839,755,0
639,886,802,0
232,691,680,0
237,859,803,0
746,480,497,0
864,262,160,0
53,931,937,0
803,379,768,0
5,821,831,0
258,467,599,0
185,769,765,0
762,683,705,0
897,423,544,0
199,608,584,0
517,80,161,0
382,917,933,0
153,740,630,0
818,514,431,0
672,102,284,0
58,662,620,0
196,775,713,0
835,861,905,0
451,896,885,0
309,798,687,0
311,516,412,0
582,484,345,0
368,282,190,0
809,187,134,0
379,518,404,0
140,913,902,0
614,461,563,0
732,428,442,0
825,413,478,0
193,805,834,0
24,947,944,0
684,334,212,0
81,824,651,0
20,68,20,0
163,597,467,0
388,442,459,0
60,770,861,0
324,796,865,0
438,533,470,0
926,411,320,0
304,869,849,0
22,948,947,0
355,763,685,0
630,663,612,0
703,543,443,0
432,114,164,0
189,341,264,0
506,749,699,0
512,206,154,0
298,508,386,0
799,465,608,0
132,924,926,0
328,424,343,0
529,835,833,0
681,176,205,0
842,267,286,0
523,7,254,0
52,771,779,0
788,136,116,0
626,145,76,0
141,945,932,0
396,175,338,0
225,826,791,0
893,95,114,0
604,158,145,0
154,838,842,0
406,565,627,0
854,12,811,0
778,225,342,0
633,505,573,0
645,30,22,0
678,730,591,0
507,901,877,0
726,339,597,0
44,552,508,0
412,807,752,0
834,219,189,0
422,853,829,0
286,319,493,0
915,380,657,0
851,482,379,0
434,766,666,0
754,652,683,0
114,801,824,0
549,850,880,0
115,510,631,0
861,20,17,0
37,15,144,0
335,852,897,0
83,932,920,0
881,89,101,0
3,113,291,0
717,78,51,0
491,843,870,0
487,681,703,0
337,622,417,0
527,297,251,0
519,862,862,0
152,687,633,0
385,55,38,0
76,483,499,0
511,421,315,0
445,542,555,0
113,940,921,0
862,464,448,0
884,35,52,0
72,855,850,0
307,551,611,0
292,615,550,0
330,790,722,0
486,645,670,0
100,881,916,0
502,271,221,0
896,303,235,0
876,558,424,0
905,366,288,0
265,561,535,0
29,929,940,0
494,426,481,0
509,569,523,0
613,441,239,0
644,88,129,0
413,431,419,0
323,335,375,0
524,11,309,0
821,229,347,0
689,404,433,0
733,37,11,0
272,738,719,0
608,555,898,0
182,275,319,0
173,688,684,0
722,593,700,0
810,134,182,0
872,91,50,0
785,21,14,0
274,588,738,0
419,713,495,0
492,535,590,0
374,208,275,0
310,733,872,0
786,405,464,0
301,888,847,0
898,273,179,0
16,16,8,0
88,528,600,0
661,285,278,0
65,784,635,0
253,344,506,0
197,415,352,0
520,129,180,0
586,579,582,0
903,28,27,0
559,500,432,0
119,856,867,0
542,318,392,0
712,373,421,0
234,707,756,0
636,493,551,0
783,231,394,0
687,583,571,0
760,399,396,0
855,153,174,0
927,184,61,0
838,97,49,0
759,437,532,0
820,147,178,0
620,390,423,0
766,220,152,0
49,925,931,0
725,820,714,0
647,921,917,0
485,368,491,0
252,202,187,0
414,700,747,0
420,458,393,0
843,148,60,0
813,598,556,0
458,266,186,0
728,443,377,0
11,927,915,0
32,858,893,0
354,371,262,0
880,240,120,0
657,638,358,0
351,606,655,0
17,915,922,0
63,577,483,0
737,375,340,0
360,836,778,0
299,692,767,0
839,299,234,0
224,619,665,0
890,118,42,0
848,252,229,0
91,819,672,0
950,29,6,0
674,358,517,0
832,212,158,0
426,718,743,0
176,494,341,0
90,178,323,0
215,495,485,0
724,98,80,0
362,941,948,0
213,761,757,0
192,714,570,0
573,884,774,0
591,135,249,0
66,476,389,0
188,780,701,0
622,228,232,0
125,475,565,0
164,520,518,0
755,157,92,0
250,486,515,0
750,650,526,0
266,108,128,0
264,758,783,0
316,750,678,0
433,628,645,0
375,280,233,0
217,759,690,0
828,94,100,0
561,937,927,0
617,677,610,0
187,180,263,0
181,320,273,0
169,568,529,0
590,186,208,0
682,149,105,0
370,198,153,0
738,648,624,0
866,121,127,0
908,60,32,0
572,79,143,0
845,141,142,0
110,532,698,0
459,447,422,0
240,806,691,0
761,409,294,0
710,666,546,0
80,797,759,0
481,496,656,0
850,369,265,0
747,636,512,0
67,848,795,0
201,370,646,0
688,641,637,0
874,189,99,0
345,488,366,0
277,804,848,0
271,352,292,0
605,439,344,0
790,244,183,0
468,18,12,0
244,899,883,0
807,322,277,0
202,830,801,0
679,541,473,0
144,745,786,0
811,44,23,0
303,753,708,0
547,65,200,0
538,422,444,0
932,127,107,0
910,50,104,0
942,19,7,0
373,509,487,0
317,706,675,0
916,77,41,0
924,36,16,0
583,799,749,0
651,61,302,0
288,536,434,0
48,222,457,0
261,479,553,0
428,731,667,0
625,17,814,0
120,481,403,0
562,385,350,0
165,433,702,0
555,378,726,0
139,866,763,0
716,106,59,0
147,857,851,0
870,105,93,0
184,897,899,0
198,560,547,0
692,584,463,0
284,255,266,0
889,503,472,0
220,456,409,0
319,279,509,0
401,903,853,0
589,207,295,0
318,382,272,0
599,432,446,0
171,526,458,0
553,538,427,0
768,393,530,0
707,890,858,0
770,100,39,0
116,906,843,0
857,188,333,0
729,259,136,0
133,904,887,0
9,873,826,0
205,144,44,0
935,63,111,0
621,670,514,0
472,487,312,0
61,469,581,0
348,330,367,0
405,169,216,0
637,388,536,0
900,357,447,0
925,167,222,0
745,288,469,0
239,905,845,0
229,227,230,0
402,374,335,0
833,420,742,0
461,863,908,0
466,719,598,0
12,938,928,0
183,312,348,0
131,173,165,0
35,564,383,0
501,875,828,0
748,52,911,0
931,39,18,0
243,604,490,0
50,874,815,0
118,633,552,0
489,902,904,0
247,785,780,0
231,773,660,0
650,308,298,0
439,307,283,0
340,331,391,0
693,276,311,0
127,293,484,0
655,151,84,0
646,448,521,0
704,811,773,0
735,304,327,0
685,181,96,0
417,658,709,0
628,386,293,0
936,23,24,0
871,154,91,0
594,115,151,0
221,722,707,0
574,803,892,0
4,908,784,0
515,572,583,0
764,8,492,0
435,870,836,0
256,727,710,0
503,434,471,0
951,1,1,0
505,111,78,0
592,355,260,0
934,9,261,0
533,381,246,0
607,238,163,0
526,594,455,0
853,808,838,0
557,333,376,0
844,156,139,0
339,883,839,0
600,286,241,0
947,139,305,0
211,757,681,0
336,720,593,0
27,818,799,0
210,582,654,0
122,607,706,0
552,557,476,0
57,812,873,0
346,698,810,0
933,6,195,0
496,935,939,0
174,817,869,0
904,125,65,0
356,440,213,0
635,177,113,0
879,86,62,0
917,800,727,0
911,58,48,0
146,5,721,0
361,894,890,0
696,269,210,0
364,261,141,0
623,630,748,0
62,211,173,0
877,345,308,0
869,226,245,0
241,639,540,0
822,425,426,0
151,690,790,0
749,725,604,0
365,410,282,0
702,59,15,0
248,911,855,0
670,776,792,0
875,337,255,0
315,589,669,0
616,674,606,0
350,314,533,0
544,545,439,0
480,258,316,0
416,791,821,0
804,295,313,0
784,138,155,0
148,736,807,0
666,243,218,0
333,696,643,0
269,522,387,0
690,452,373,0
669,511,465,0
618,116,75,0
367,943,946,0
424,130,67,0
930,14,2,0
287,864,886,0
841,361,243,0
805,257,480,0
584,627,613,0
460,679,577,0
546,365,398,0
85,519,405,0
791,70,102,0
389,550,395,0
137,898,868,0
121,900,874,0
101,253,622,0
831,64,3,0
391,946,943,0
308,754,740,0
840,69,150,0
96,887,901,0
609,321,198,0
26,944,938,0
499,406,353,0
569,164,224,0
565,686,562,0
836,53,46,0
343,823,895,0
615,205,108,0
827,232,138,0
868,349,354,0
801,372,332,0
829,170,148,0
686,171,181,0
156,765,734,0
901,324,214,0
42,709,751,0
228,715,804,0
403,825,641,0
280,752,588,0
798,46,140,0
278,521,488,0
93,928,935,0
946,237,175,0
70,933,941,0
427,430,474,0
673,199,103,0
826,155,79,0
166,728,741,0
534,168,98,0
797,185,156,0
157,926,889,0
409,27,117,0
885,702,800,0
134,200,169,0
415,403,297,0
10,751,732,0
944,38,54,0
550,272,185,0
691,387,365,0
398,680,725,0
543,575,596,0
262,939,930,0
238,570,679,0
920,132,47,0
521,578,692,0
671,71,71,0
296,453,739,0
19,596,503,0
393,221,268,0
719,573,477,0
649,744,816,0
664,708,785,0
676,384,441,0
6,241,238,0
395,549,461,0
488,323,418,0
700,523,466,0
54,649,730,0
873,242,231,0
849,197,171,0
815,264,300,0
449,704,771,0
888,216,122,0
720,391,296,0
431,767,697,0
773,191,287,0
767,574,626,0
721,408,325,0
478,342,321,0
411,576,516,0
580,72,97,0
440,833,859,0
769,107,115,0
856,201,94,0
13,920,909,0
246,540,413,0
300,695,602,0
191,204,70,0
242,567,686,0
736,626,380,0
1,2,86,0
421,160,149,0
448,632,525,0
295,721,775,0
276,822,871,0
525,395,317,0
602,547,486,0
437,416,370,0
94,712,659,0
882,87,73,0
508,359,384,0
312,827,762,0
740,397,430,0
135,793,806,0
